N is 4
N is 4
omega has size 1
omega has size 2
omega has size 3
omega has size 4
theta has size 1theta has size 2theta has size 3theta has size 4theta has size 40, 12.6858, dt0
0.207, 12.9569, dt0
0.207, 13.3862, dt1
0.207, 10.7055, dt2
0.207, 10.9734, dt3
0.208, 13.0293, dt0
0.208, 13.2509, dt1
0.208, 11.5103, dt2
0.208, 11.0968, dt3
0.209, 12.1674, dt0
0.209, 13.6715, dt1
0.209, 11.2101, dt2
0.209, 11.6089, dt3
0.21, 12.8558, dt0
0.21, 12.6755, dt1
0.21, 10.3544, dt2
0.21, 10.8864, dt3
0.211, 12.8929, dt0
0.211, 13.7624, dt1
0.211, 11.3318, dt2
0.211, 10.6043, dt3
0.212, 12.6209, dt0
0.212, 12.8632, dt1
0.212, 10.5316, dt2
0.212, 11.0644, dt3
0.213, 12.1077, dt0
0.213, 13.568, dt1
0.213, 11.3435, dt2
0.213, 11.2769, dt3
0.214, 12.9046, dt0
0.214, 14.1577, dt1
0.214, 10.6581, dt2
0.214, 11.1631, dt3
0.215, 13.7189, dt0
0.215, 13.3357, dt1
0.215, 10.5295, dt2
0.215, 11.1708, dt3
0.216, 13.0271, dt0
0.216, 12.7562, dt1
0.216, 10.4847, dt2
0.216, 11.5235, dt3
0.217, 12.9791, dt0
0.217, 13.6103, dt1
0.217, 10.4065, dt2
0.217, 10.0598, dt3
0.218, 12.7277, dt0
0.218, 13.2206, dt1
0.218, 11.3809, dt2
0.218, 10.8204, dt3
0.219, 12.5914, dt0
0.219, 13.2619, dt1
0.219, 11.0455, dt2
0.219, 11.8136, dt3
0.22, 12.1239, dt0
0.22, 12.5864, dt1
0.22, 10.2058, dt2
0.22, 10.9009, dt3
0.221, 13.1682, dt0
0.221, 12.4255, dt1
0.221, 11.2277, dt2
0.221, 11.4775, dt3
0.222, 12.5645, dt0
0.222, 13.3344, dt1
0.222, 11.0583, dt2
0.222, 11.7807, dt3
0.223, 12.4833, dt0
0.223, 13.6109, dt1
0.223, 11.0672, dt2
0.223, 11.2981, dt3
0.224, 13.0429, dt0
0.224, 13.3873, dt1
0.224, 10.8494, dt2
0.224, 11.1414, dt3
0.225, 12.929, dt0
0.225, 13.2679, dt1
0.225, 10.9902, dt2
0.225, 11.3607, dt3
0.226, 12.8159, dt0
0.226, 13.4005, dt1
0.226, 11.0173, dt2
0.226, 11.2871, dt3
0.227, 13.1565, dt0
0.227, 13.2246, dt1
0.227, 11.5534, dt2
0.227, 11.1215, dt3
0.228, 13.3226, dt0
0.228, 13.1813, dt1
0.228, 11.6138, dt2
0.228, 11.3543, dt3
0.229, 12.0658, dt0
0.229, 12.3308, dt1
0.229, 10.7655, dt2
0.229, 11.6109, dt3
0.23, 12.9309, dt0
0.23, 12.4749, dt1
0.23, 10.8096, dt2
0.23, 10.6245, dt3
0.231, 12.8899, dt0
0.231, 12.9888, dt1
0.231, 11.0586, dt2
0.231, 11.444, dt3
0.232, 12.5384, dt0
0.232, 12.7177, dt1
0.232, 10.56, dt2
0.232, 10.4754, dt3
0.233, 12.8728, dt0
0.233, 12.6823, dt1
0.233, 11.5916, dt2
0.233, 11.4237, dt3
0.234, 12.8475, dt0
0.234, 13.0555, dt1
0.234, 11.6168, dt2
0.234, 9.94151, dt3
0.235, 12.4232, dt0
0.235, 13.5429, dt1
0.235, 10.9139, dt2
0.235, 12.1506, dt3
0.236, 12.996, dt0
0.236, 12.6977, dt1
0.236, 11.3788, dt2
0.236, 11.5121, dt3
0.237, 12.1633, dt0
0.237, 13.2094, dt1
0.237, 10.9165, dt2
0.237, 10.7215, dt3
0.238, 12.5418, dt0
0.238, 13.2666, dt1
0.238, 11.0441, dt2
0.238, 10.5489, dt3
0.239, 14.2106, dt0
0.239, 13.2351, dt1
0.239, 10.5917, dt2
0.239, 11.021, dt3
0.24, 12.5911, dt0
0.24, 13.3543, dt1
0.24, 10.7109, dt2
0.24, 11.3124, dt3
0.241, 12.596, dt0
0.241, 13.6649, dt1
0.241, 10.9712, dt2
0.241, 11.3701, dt3
0.242, 12.0317, dt0
0.242, 13.3955, dt1
0.242, 11.6349, dt2
0.242, 11.234, dt3
0.243, 12.9887, dt0
0.243, 13.3192, dt1
0.243, 10.9702, dt2
0.243, 11.7503, dt3
0.244, 12.9442, dt0
0.244, 13.5829, dt1
0.244, 10.9203, dt2
